FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20191,01/01/2019,03/31/2019,Open,Kern,09 - Central,0617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,183,991,832,231,957,0,0,255,1049,0,57,4372,0,4566,3247,810,3310,0,0,941,2974,0,261,16109,0,11158,3847,1859,12407,0,0,2718,17172,0,2360,51521,87779550,69264201,17538829,61353301,0,0,15733111,64665233,0,1775445,318109670,40758895,33501801,5636865,51008821,0,0,18705344,61423349,0,6935778,217970853,5868323,106728541,81682132,17401574,95687479,0,0,0,21307655,94597863,0,891047,0,0,0,7654261,431818875,0,0,0,0,0,20661771,20603896,5404191,16115243,0,0,12634529,28246689,0,595329,104261648,1213371,100443734,0,825752,0,0,0,0,4203112,131856658,0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,20191,01/01/2019,03/31/2019,Open,Lake,01 - Northern California,0115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25,25,21,184,3,14,125,0,0,14,20,0,2,362,0,889,30,36,479,0,0,76,55,0,2,1567,0,21194,299,5817,21588,0,0,5481,3456,0,684,58519,10797377,297794,504556,6115113,0,0,800235,1216464,0,26867,19758406,22133133,651907,3469451,20434065,0,0,1798159,6874304,0,1280475,56641494,959591,21872113,654104,336756,19125537,-205998,0,0,1009948,3931694,0,1162647,0,0,0,943351,49789743,0,2574885,0,0,2574885,10584827,277080,3550052,9581156,0,0,1459923,3858375,0,-126371,29185042,1223910,26687876,0,6136,0,0,0,0,939050,33241389,0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,20191,01/01/2019,03/31/2019,Open,Butte,01 - Northern California,0220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13701,0,4459,9262,0,0,4037,2133,0,611,34203,0,0,0,0,0,0,0,0,0,0,0,4948763,0,1955483,3982684,0,0,312766,3160425,0,553772,14913893,-919665,2269687,0,1315578,1170340,0,0,0,144005,564480,0,582185,0,0,0,2799379,7925989,0,0,0,0,0,2343573,0,622877,2591959,0,0,84479,1807470,0,-462454,6987904,3713118,11631279,0,-115697,0,0,0,0,97457,49792360,0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,289,2129,455,462,991,0,0,102,873,0,72,5084,0,12159,2143,3223,3903,0,0,448,3460,0,269,25605,0,15535,2431,1559,9902,0,0,2468,17202,0,1091,50188,231922076,47719218,38751555,95102859,0,0,3172843,70196170,0,5826315,492691036,67950281,19843493,7530459,62712558,0,0,3913701,62654486,0,14096730,238701708,5740758,260465696,46250925,34674407,148050997,0,0,0,3880218,95148222,0,10787238,0,0,0,7225046,612223507,0,0,0,0,0,35626089,20148431,8795512,8377410,0,0,2808167,36066132,0,7347496,119169237,4119791,124602852,0,1905770,0,0,0,0,2231822,196461694,0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,20191,01/01/2019,03/31/2019,Open,Kings,09 - Central,0615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,135,903,232,207,812,0,0,162,355,0,37,2708,0,4753,1277,805,3199,0,0,463,1090,0,176,11763,0,14403,2586,3359,29634,0,0,5790,15472,7,2330,73581,46744080,11321693,7945565,33609172,0,0,4579845,12218713,0,1595719,118014787,34784209,8399310,8547462,77076969,0,0,12224366,35746899,47416,7708341,184534972,5176875,59924909,16273050,9718087,90917626,-1094663,0,0,9170497,27711829,0,1552656,0,0,0,7037958,226388824,0,4381231,0,0,4381231,15796283,3118566,8880275,25707009,0,0,2941271,22921285,100,1177377,80542166,2725975,73602329,0,-423836,0,0,0,0,2240794,203075843,0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20191,01/01/2019,03/31/2019,Open,Mendocino,01 - Northern California,0112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,25,248,15,18,83,0,0,9,45,0,5,423,0,1143,70,76,452,0,0,65,131,0,40,1977,0,5313,490,235,4317,0,0,1556,2411,0,357,14679,19339583,951648,901515,6221764,0,0,821580,2941623,0,485810,31663523,7069387,826763,680571,7310507,0,0,909300,4821687,0,665489,22283704,580153,18604777,1230456,911994,9855390,0,0,0,1201189,3123017,0,1064594,0,0,0,946649,37518219,0,1281986,0,0,1281986,7583981,471844,700331,4620566,0,0,451351,4351095,0,-468174,17710994,867185,17923504,0,655456,0,0,0,0,161994,55526430,0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,20191,01/01/2019,03/31/2019,Open,San Joaquin,06 - North San Joaquin,0505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,94,893,240,129,547,0,0,41,304,0,35,2189,0,3673,1039,514,1900,0,0,140,950,0,108,8324,0,20819,3932,2801,23563,0,0,4391,14028,58,1616,71208,91331236,25400930,12357903,45764276,0,0,3557754,25805931,0,3332495,207550525,54378022,12498167,8162875,55191167,0,0,6879971,36358316,35385,7146277,180650180,4227905,123218022,34221271,16952468,91693881,0,0,0,5858840,46172021,0,715777,0,0,0,9430143,332490328,0,1314177,0,0,1314177,15548201,3968566,4114551,11287017,0,0,1990581,19165401,141,950096,57024554,661867,58204895,0,-3339238,0,0,0,0,40279,126569273,0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST HEALTH REEDLEY,20191,01/01/2019,03/31/2019,Open,Fresno,09 - Central,0607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,15,58,16,68,216,0,0,2,48,0,5,413,0,211,66,152,456,0,0,4,103,0,20,1012,0,19451,3982,12446,90555,0,0,1494,18853,3109,3104,152994,1755209,532345,1377221,4211836,0,0,28869,939385,0,196962,9041827,9252768,2110384,5601415,40054760,0,0,1415270,7872811,522391,2777086,69606885,1500392,4939762,1930433,2925428,16602371,-1230261,0,0,884359,5258171,0,740231,0,0,0,2013523,35564409,0,0,0,557862,557862,4440339,673907,5755077,27455830,0,0,395077,4377309,92089,452537,43642165,2962394,38657397,0,298601,0,0,0,0,712549,33342947,0,0,0,0,0,0,0,0,0,0,0,0,0
106580996,ADVENTIST HEALTH RIDEOUT,20191,01/01/2019,03/31/2019,Open,Yuba,02 - Golden Empire,0227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,166,1434,42,255,734,1,0,461,0,0,19,2946,0,8213,175,1103,3271,3,0,1791,0,0,354,14910,0,22586,603,2538,13979,20,0,12563,0,0,1978,54267,121594408,2588914,14843216,44756285,64122,0,30563162,0,0,2886063,217296170,62811001,1676325,7057901,38872328,54762,0,34935700,0,0,5501047,150909064,3652417,145932162,3427924,18677193,67492735,0,107528,0,22787790,0,0,0,0,0,0,3181513,265259262,0,0,0,0,0,38473245,837316,3223925,16135878,11357,0,40501305,0,0,3762946,102945972,1845704,109945518,13176346,261607,0,0,0,0,1549033,342339999,0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,20191,01/01/2019,03/31/2019,Open,Ventura,10 - Santa Barbara/Ventura,0813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,85,78,686,272,79,280,0,0,26,403,0,10,1756,0,3196,1167,243,951,0,0,91,1276,0,41,6965,0,2754,873,784,3560,0,0,3369,8615,0,328,20283,55934646,21266035,1960744,15315170,0,0,825396,23228739,0,1977294,120508024,14209000,7760798,3546305,15208256,0,0,1396700,28996884,0,2682375,73800318,1762645,59077872,22373264,4974277,28059633,0,0,0,753261,33937785,0,1469685,0,0,0,3935397,156343819,0,0,0,0,0,10043308,6225472,529974,2206194,0,0,1554172,16210470,0,1194933,37964523,491756,40897376,0,31490,0,0,0,0,366471,123713024,0,0,0,0,",w ",0,0,0,0,0,0,0,0
